Rcode,Division,Description
2302,A,A DIV RELIEF PERSONNEL
2320,A,DISTRICT #1 STAFF
2327,A,ACTO STAFF
2331,A,GENERAL ORDERS & DIV.SUBDV-A
2333,A,#1 LINE / GRAND CENTRAL SHUTTL
2334,A,#2 LINE
2335,A,#3 LINE
2337,A,#4 LINE
2338,A,#5 LINE
2339,A,#6 LINE
2340,A,DISTRICT #2 STAFF
2388,A,A DIV VACATION RELIEF
2391,A,EXTRA LIST-DISTRICT #1
2392,A,EXTRA LIST-DISTRICT #2
2303,B,B DIV RELIEF PERSONNEL
2329,B,ACTO STAFF.
2348,B,M LINE
2349,B,DISTRICT #3 STAFF
2353,B,J/Z LINES
2354,B,L LINE
2355,B,Q LINE/FRANKLIN AVE SHUTTLE
2358,B,N LINE
2359,B,#7 LINE
2360,B,B LINE
2361,B,CONEY ISLAND YARD
2363,B,GENERAL ORDERS & DIV.SUBDV.-B
2365,B,G LINE
2373,B,A LINE
2374,B,D LINE
2375,B,C/H LINES
2377,B,F LINE
2378,B,E LINE
2379,B,R LINE
2384,B,DISTRICT #4 STAFF
2385,B,DISTRICT #5 STAFF
2387,B,W LINE
2389,B,B DIV VACATION RELIEF
2394,B,EXTRA LIST-DISTRICT #3
2395,B,EXTRA LIST-DISTRICT #4
2396,B,EXTRA LIST-DISTRICT #5
2306,C,"STAFF, GEN.ORDERS & DIVERSIONS"
2328,C,WORK TRAINS STAFF
2346,C,WORK TRAINS SUBDIVISION A
2347,C,WORK TRAINS SUBDIVISION B
2357,C,CONSTRUCTION FLAGGING SUBDV-A
2362,C,CONSTRUCTION FLAGGING SUBDV-B
2364,C,STAFF. CONSTRUCTION FLAGGING
2383,C,"ACTO STAFF, CAP SUPP & PLAN"
2307,OCC,OPERATIONS DEVELOPMENT
2308,OCC,CHIEF OFF OPERTNS CNTRL CNTR
2310,OCC,PERF REPORTING & OPER ANALYSIS
2312,OCC,OCC - STATIONS
2317,OCC,RCC COMMUNICATIONS
2318,OCC,OCC - POWER CONTROL CENTER
2324,OCC,RCC OPERATING THEATER
2341,OCC,OCC - CAR EQUIPMENT
2415,OCC,MOW OPERATIONS CENTER
2231,FOS,VP OFFICE SERVICE DELIVERY
2305,FOS,CHIEF OFFICE FLD OPER SVCS SD
2316,FOS,DIVISION OPERATIONS
2321,FOS,METHODS AND PROCEDURES
2322,FOS,ADIV TRANSPORTATION OPERATIONS
2381,FOS,BDIV TRANSPORTATION OPERATIONS
2386,FOS,CONTRACT REVIEW
2397,FOS,FACILITIES AND SAFETY
2399,FOS,CREW DEPT
